PMF_PLACE,LONG,LAT,ADDR,EMR,CLINIC
VANCOUVER,-123.1259148,49.2611413,10TH FL - 2775 LAUREL STREET,Accuro,HAEMATOLOGY AND BMT PROGRAM
NEW WESTMINSTER,-122.8933951,49.2253096,110 - 245 EAST COLUMBIA STREET,Accuro,NA
PORT MCNEILL,-127.0782247,50.5836711,PO BOX 400,Intrahealth,PORT MCNEILL MEDICAL CLINIC
KELOWNA,-119.4921002,49.8622772,202 - 436 CEDAR AVE,iClinic,NEUROSLEEP CLINIC
VICTORIA,-123.3336707,48.4681724,230 - 1555 MCKENZIE AVENUE,Plexia,NA
BURNABY,-123.0194515,49.2499925,3809 SUNSET STREET,Plexia,BURNABY GYNECOLOGY CLINIC
NAKUSP,-117.7979456,50.2383921,PO BOX 159 - 84 BROADWAY,Wolf,SADDLE MOUNTAIN MEDICAL CLINIC
WHITE ROCK,-122.7945119,49.0295511,101 - 15451 RUSSELL AVENUE,IntraHealth,WHITE ROCK MEDICAL
WHITE ROCK,-122.7945119,49.0295511,101 - 15451 RUSSELL AVENUE,IntraHealth,WHITE ROCK MEDICAL
KAMLOOPS,-120.329944,50.6716033,203 - 474 COLUMBIA STREET,Osler,474 FAMILY MEDICINE
SURREY,-122.8405364,49.174526,302 - 13798 94A AVENUE,Plexia,NA
COQUITLAM,-122.7917692,49.2786325,212 - 3030 LINCOLN AVENUE,McKeever Wizardry,NA
KAMLOOPS,-120.3490578,50.6636177,4 - 1380 SUMMIT DRIVE,MedAccess,SUMMIT MEDICAL CLINIC
KELOWNA,-119.4921002,49.8622772,201 - 436 CEDAR AVENUE,Accuro,KELOWNA DERMATOLOGY INC
COMOX,-124.9230016,49.6720753,100 - 1695 COMOX AVENUE,Wolf,COMOX MEDICAL CLINIC
KELOWNA,-119.4537534,49.8845657,101 - 1912 ENTERPRISE WAY,Wolf,MILL CREEK FAMILY MEDICAL
SURREY,-122.8027414,49.1053336,103 - 15157 HIGHWAY 10,Wolf,PANORAMA VILLAGE MEDICAL CLINIC
BURNABY,-123.0165975,49.2488432,3935 KINCAID ST,Launchpad,DEPT OF CARDIOLOGY
VANCOUVER,-123.1009482,49.2496324,3980 MAIN STREET,Oscar Nerd,MIDWIFERY GROUP
VANCOUVER,-123.1251268,49.2636604,140 - 943 WEST BROADWAY,Launchpad,PACIFIC REHAB MEDICAL
VICTORIA,-123.3228272,48.4324038,205 - 1990 FORT STREET,Accuro,NA
DUNCAN,-123.7081361,48.7857933,201 - 2763 BEVERLY STREET,Plexia,BEVERLY MEDICAL CLINIC
SHAWNIGAN LAKE,-123.6214589,48.653366,PO BOX 240,MedAccess,2749 DUNDAS ROAD
VANCOUVER,-123.1210594,49.2630115,1317 - 750 WEST BROADWAY,MedAccess,NA
SURREY,-122.8455789,49.1937839,10517 KING GEORGE BOULEVARD,Launchpad,PARK CITY CLINIC
CAMPBELL RIVER,-125.2462899,50.0116464,110-520 2ND AVE,Oscar West,NA
NANAIMO,-123.9730982,49.1828239,105 - 1621 DUFFERIN CRESCENT,Accuro,NA
NEW WESTMINSTER,-122.9202672,49.2131559,140 - 555 6TH STREET,Accuro,CBI CARE POINT WESTMINSTER MALL
CHEMAINUS,-123.7163167,48.9262953,9892 ESPLANADE STREET,MedAccess,CHEMAINUS MEDICAL CLINIC
VICTORIA,-123.327759,48.4322939,1952 BAY STREET,Launchpad,RJH GERIATRICS
ABBOTSFORD,-122.3252165,49.0527908,204 - 32450 SIMON AVENUE,Osler,WINDERMERE MEDICAL CLINIC
NEW WESTMINSTER,-122.8933951,49.2253096,203 - 245 EAST COLUMBIA STREET,Plexia,NA
TOFINO,-125.9072416,49.151284,PO BOX 189 - 220 1ST ST,Wolf,TONQUIN MEDICAL CLINIC
VANCOUVER,-123.1267045,49.2448408,C234 - 4500 OAK STREET,Launchpad,DEPARTMENT OF MEDICAL GENETICS
PORT MCNEILL,-127.0782247,50.5836711,PO BOX 400 - 2161 MCNEILL ROAD,IntraHealth,PORT MCNEILL MEDICAL CLINIC
VICTORIA,-123.3647222,48.4283334,PO BOX 1700 0 STN FORCES,Launchpad,MEDICAL REFERALS CLERK CFB BASE HOSPITAL
VANCOUVER,-123.0918041,49.2832953,569 POWELL STREET,Intrahealth VCH,DOWNTOWN COMMUNITY CLINIC
CAMPBELL RIVER,-125.243085,50.0113996,360 2ND AVENUE,Oscar West,HILLSIDE MEDICAL
PORT COQUITLAM,-122.7550096,49.2728127,210 - 1465 SALISBURY AVENUE,Oscar West,BURKE MOUNTAIN MEDICAL
MISSION,-122.3252477,49.1337683,107 - 32471 LOUGHEED HWY,Osler,MISSION HILLS CLINIC
DUNCAN,-123.7081361,48.7857933,201 - 2763 BEVERLEY STREET,MedAccess,BEVERLY MEDICAL CLINIC
GALIANO,-123.3207873,48.8714769,SITE 4 COMP19 RR1 - 908 BURRILL RD,Wolf,GALIANO HEALTH CARE CENTRE
BURNABY,-122.8959168,49.2510397,145 - 9855 AUSTIN AVENUE,Launchpad,LOUGHEED MEDICAL CLINIC
RICHMOND,-123.1482094,49.1692939,310 - 6091 GILBERT ROAD,Plexia,NA
VICTORIA,-123.3524606,48.4254293,305-1120 YATES ST,Launchpad,ATTN:  L BULINCKX
VICTORIA,-123.3749103,48.4566559,3544 BLANSHARD STREET,Osler,SAANICH PLAZA MEDICAL CLINIC
VANCOUVER,-123.2442035,49.2648819,S169 - 2211 WESBROOK MALL,Plexia,NA
PENTICTON,-119.5781744,49.482897,577 CARMI AVENUE,MedAccess,NA
LANGLEY,-122.6733484,49.1179171,19851 WILLOWBROOK DRIVE,Launchpad,VALLEY CENTRE MEDICAL CLINIC
VICTORIA,-123.4107143,48.4294853,3 - 1153 ESQUIMALT ROAD,Intrahealth,ESQUIMALT MEDICAL CLINIC
PRINCE GEORGE,-122.755411,53.9085702,212 - 1669 VICTORIA STREET,MOIS,NA
SIDNEY,-123.3994157,48.6474231,2425 BEVAN AVENUE,Osler,NA
NANAIMO,-124.0327569,49.2206941,6205 OLIVER ROAD,Launchpad,NA
VICTORIA,-123.3527566,48.4288186,301 - 1711 COOK ST,Oscar West,NA
NEW WESTMINSTER,-122.8933071,49.2260098,410 - 301 EAST COLUMBIA STREET,Plexia,NA
RICHMOND,-123.1464747,49.1687434,7000 WESTMINSTER HIGHWAY,Launchpad,CHILD HEALTH CENTRE
VICTORIA,-123.327759,48.4322939,1952 BAY STREET,Accuro,RJH CLINIC 5 OPTHAMOLOGY
VICTORIA,-123.3524606,48.4254293,107 - 1120 YATES STREET,Oscar Nerd,MIDWIVES COLLECTIVE
VICTORIA,-123.3293646,48.4294305,1823 FORT STREET,MedAccess,JUBILEE CLINIC PHYSICIANS
PRINCE GEORGE,-122.7661613,53.9129136,4 - 1230 ALWARD STREET,MOIS,NA
MAPLE RIDGE,-122.5997574,49.2199067,600 - 22470 DEWDNEY TRUNK ROAD,MedAccess,NA
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
SURREY,-122.8887565,49.1517382,101 - 8181 120A STREET,Accuro,NA
COMOX,-124.9230016,49.6720753,100 - 1695 COMOX AVENUE,Wolf,COMOX MEDICAL CLINIC
NORTH VANCOUVER,-123.0744768,49.3217918,101 - 145 15TH ST WEST,Plexia,NA
NANAIMO,-123.9345877,49.1606966,102 - 55 VICTORIA ROAD,MOIS,NA
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 7TH FLR,iClinic,THE LUNG CENTRE DIAMOND HEALTH CARE CNTR
VANCOUVER,-123.1165444,49.262936,731 - 550 WEST BROADWAY,IntraHealth,HIGHROADS MEDICAL CLINIC
QUESNEL,-122.4997093,52.9816714,543 FRONT STREET,Osler,NA
SURREY,-122.7984382,49.0311297,200 - 15331 16TH AVE,IntraHealth,HILLTOP MEDICAL CENTRE
SURREY,-122.7984342,49.1052415,108-15325 56TH AVENUE,Oscar Nerd,SULLIVAN SQUARE MEDICAL
VICTORIA,-123.3747387,48.4564346,104 - 3551 BLANSHARD STREET,Accuro,REBALANCE MD
VICTORIA,-123.3726658,48.5294888,135 - 5325 CORDOVA BAY,Oscar Nerd,NA
VICTORIA,-123.3528931,48.4246916,203 - 1121 YATES STREET,Plexia,SURGICAL SERVICES UROLOGY
CAMPBELL RIVER,-125.2411602,50.0071696,277 EVERGREEN ROAD,Oscar West,ALDER MEDICAL CENTRE
COMOX,-124.9255823,49.6718759,101 - 1757 BEAUFORT AVENUE,Plexia,OCEAN VIEW WOMEN'S CLINIC
VANCOUVER,-123.1210594,49.2630115,1317 - 750 WEST BROADWAY,MedAccess,NA
NORTH VANCOUVER,-123.0744768,49.3217918,213 - 145 WEST 15TH STREET,Plexia,NA
COMOX,-124.9255823,49.6718759,201 - 1757 BEAUFORT AVENUE,MedAccess,SEA COVE MEDICAL CLINIC
NANAIMO,-123.9730982,49.1828239,205 - 1621 DUFFERIN CRESCENT,IntraHealth,MILLSTONE MEDICAL CENTRE
VICTORIA,-123.4985025,48.4480526,107 - 755 GOLDSTREAM AVENUE,Wolf,WESTWIND MEDICAL CLINIC
NORTH VANCOUVER,-123.0744768,49.3217918,101 - 145 15TH ST WEST,Plexia,NA
PORT HARDY,-127.5024595,50.7210678,9140 GRANVILLE STREET,Intrahealth,PORT HARDY PRIMARY HEALTH CARE CENTRE
SURREY,-122.7390628,49.1043761,150 - 17475 56TH AVENUE,Oscar,BRICKYARD MEDICAL CLINIC
RICHMOND,-123.1830756,49.1267089,204 - 3811 CHATHAM STREET,IntraHealth,STEVESTON MEDICAL CLINIC
VICTORIA,-123.3331826,48.4672493,218 - 3930 SHELBOURNE STREET,Osler,NA
VANCOUVER,-123.1222135,49.28892,SUITE 500 - 1199 WEST HASTINGS STREET,Launchpad,IMA SOLUTIONS
VICTORIA,-123.3353305,48.4262891,302 - 1625 OAK BAY AVENUE,Accuro,NA
KELOWNA,-119.4911315,49.8847407,564 LEON AVENUE,Accuro,KELOWNA GI ASSOCIATES
COURTENAY,-124.9944659,49.6860442,201 - 1350 ENGLAND AVENUE,IntraHealth,COURTENAY MEDICAL ASSOCIATES
VICTORIA,-123.4085666,48.4509493,2823 DYSART ROAD,Oscar,NA
BURNABY,-122.9672993,49.2802732,6548 EAST HASTINGS STREET,Oscar,KENSINGTON MEDICAL CLINIC
VICTORIA,-123.3337925,48.4449543,340 - 1641 HILLSIDE AVENUE,Accuro,NA
DELTA,-123.0618464,49.0860389,5800 MOUNTAINVIEW BLVD,Launchpad,DELTA HOSPITAL - HOSPITALIST
KELOWNA,-119.490148,49.8626485,203 - 3040 TUTT STREET,Accuro,NA
NANAIMO,-123.9330141,49.1646557,103 - 650 SOUTH TERMINAL AVENUE,IntraHealth,MEDICAL ARTS CENTRE
SURREY,-122.7984382,49.0311297,200 - 15331 16TH AVE,IntraHealth,HILLTOP MEDICAL CENTRE
DUNCAN,-123.7080793,48.7783306,170 CRAIG ST,Oscar Nerd,COWICHAN MIDWIFERY GROUP
VICTORIA,-123.4707503,48.4414961,201 - 1910 SOOKE RD,Launchpad,MD ESTHETICS
SUMMERLAND,-119.677319,49.601239,"PO BOX 460, 100 - 13009 ROSEDALE AVENUE",MedAccess,ROSEDALE MEDICAL CLINIC
RICHMOND,-123.1471647,49.1706805,201 - 7031 WESTMINSTER HWY,Plexia,NA
CHILLIWACK,-121.9620983,49.167376,101 - 45625 HODGINS AVENUE,Oscar West,NA
PORT COQUITLAM,-122.7770807,49.2611585,1 - 2185 WILSON AVENUE,IntraHealth,WILSON CENTRE FAMILY PRACTICE
SALTSPRING ISLAND,-123.5104388,48.8633143,101 - 164 KINGS LANE,Oscar Nerd,KINGS LANE MEDICAL CLINIC
VANCOUVER,-123.1208651,49.262601,K - 2550 WILLOW STREET,Plexia,EYE CARE CENTRE
NORTH VANCOUVER,-122.9513122,49.3265115,4313 GALLANT AVENUE,Oscar West,DEEP COVE MEDICAL CLINIC
RICHMOND,-123.1482094,49.1692939,750 - 6091 GILBERT ROAD,Plexia,NA
COURTENAY,-124.9969041,49.6885853,UNIT E - 310 8TH STREET,IntraHealth,VALLEY CARE MEDICAL
VANCOUVER,-123.1259148,49.2611413,10TH FL - 2775 LAUREL STREET,Accuro,HAEMATOLOGY AND BMT PROGRAM
DUNCAN,-123.7016451,48.7778858,350 FESTUBERT STREET,MedAccess,FESTUBERT FAMILY PRACTICE
RICHMOND,-123.1414817,49.1692326,1ST FLR-7333 GOLLNER AVE,Launchpad,MINORU RESIDENCE
DUNCAN,-123.7259253,48.7836505,3106 GIBBINS ROAD,Launchpad,NA
COURTENAY,-124.9991908,49.6916823,318B DUNCAN AVENUE,Launchpad,NA
VANCOUVER,-123.1289966,49.2805979,533 - 1081 BURRARD ST,Intrahealth VCH,ST PAULS HOSPITAL
MISSION,-122.3334078,49.1316221,32136 LOUGHEED HIGHWAY,Wolf,MISSION OAKS MEDICAL CENTRE
VERNON,-119.2699496,50.2655739,205 - 2903 32ND AVENUE,Wolf,LIGHTHOUSE MEDICAL CLINIC
WEST VANCOUVER,-123.1581896,49.3278535,250 16TH STREET,Wolf,AMBLESIDE MEDICAL
NANAIMO,-123.9730982,49.1828239,301-1621 DUFFERIN CRES,Accuro,NA
QUALICUM BEACH,-124.4456315,49.3461809,173 FERN ROAD WEST,Wolf,NA
NANAIMO,-123.9330141,49.1646557,103 - 650 SOUTH TERMINAL AVENUE,Intrahealth,MEDICAL ARTS CENTRE
VICTORIA,-123.3320778,48.4612246,230 - 1590 CEDAR HILL X ROAD,Oscar,NA
PORT MCNEILL,-127.0782247,50.5836711,PO BOX 400,Intrahealth,PORT MCNEILL MEDICAL CLINIC
VICTORIA,-123.3641797,48.4681421,101 - 3960 QUADRA STREET,Osler,ISLAND SEXUAL HEALTH
DUNCAN,-123.7092826,48.779573,103 - 149 INGRAM STREET,MedAccess,INGRAM FAMILY PRACTICE
CHILLIWACK,-121.9590557,49.1239478,100F -  6640 VEDDER ROAD,Oscar Nerd,BRODIE AND BASSON CLINIC
PRINCE GEORGE,-122.755411,53.9085702,316 - 1669 VICTORIA STREET,MOIS,NA
VICTORIA,-123.3293204,48.4327898,2335 RICHMOND AVENUE,Launchpad,RJH GERIATRICS
VANCOUVER,-123.0942647,49.2815331,449 EAST HASTINGS STREET,Oscar West,VANCOUVER NATIVE HEALTH
NANAIMO,-123.9604033,49.187537,206 - 1650 TERMINAL AVENUE,Plexia,NA
NORTH VANCOUVER,-123.0718856,49.3181729,110 - 1100 LONSDALE AVENUE,IntraHealth,NORTH VANCOUVER MEDICAL
VANCOUVER,-123.1715986,49.264375,200 - 2475 BAYSWATER STREET,Oscar West,NA
NORTH VANCOUVER,-123.0725123,49.3184531,300 - 1133 LONSDALE AVENUE,IntraHealth,NORTH SHORE MEDICAL GROUP
VANCOUVER,-123.1210594,49.2630115,711-750 W. BROADWAY,BCCA,NA
SALTSPRING,-123.4857594,48.8646162,258 EAGLE RIDGE DRIVE,MedAccess,NA
NEW WESTMINSTER,-122.8933071,49.2260098,302 - 301 EAST COLUMBIA STREET,Accuro,NA
DUNCAN,-123.7102883,48.7790178,100 - 190 INGRAM STREET,Accuro,NA
QUALICUM BEACH,-124.4474687,49.3465998,703 BEACH ROAD,Osler,BEACH MEDICAL CLINIC
VICTORIA,-123.4264531,48.4475028,205 - 1497 ADMIRALS ROAD,Oscar Nerd,GROW CLINIC
VICTORIA,-123.4320773,48.4666982,1 HOSPITAL WAY,Launchpad,VICTORIA GENERAL HOSP - PEDIATRIC ICU
VICTORIA,-123.3724807,48.415034,530 SIMCOE,Launchpad,BECKLEY FARM LODGE
NANAIMO,-123.9618898,49.1852149,1450 WADDINGTON ROAD,MedAccess,ANCHOR FAMILY MEDICAL CLINIC
SICAMOUS,-118.9896685,50.8364305,PO BOX 715 - 217 FINLAYSON STREET,MedAccess,NA
FRUITVALE,-117.5425512,49.115288,PO BOX 610 - 1937 COLUMBIA GARDENS ROAD,Osler,BEAVER VALLEY CLINIC
VICTORIA,-123.3576434,48.455102,3461 COOK ST,Oscar West,COOK AND QUADRA MEDICAL CLINIC
WEST VANCOUVER,-123.1797408,49.3335876,108 - 2419 BELLEVUE AVE,Launchpad,NA
DUNCAN,-123.708823,48.776047,5768 ALLENBY RD TSEWULTUN HEALTH CENTER,MedAccess,ATTN SENIOR NURSE
NORTH VANCOUVER,-123.0721064,49.3269516,211 - 1940 LONSDALE AVENUE,Wolf,NA
VANCOUVER,-123.1041039,49.2635036,2450 ONTARIO STREET,Intrahealth VCH,RAVEN SONG CLINIC
NANAIMO,-124.0289813,49.2178519,195 - 4750 RUTHERFORD ROAD NORTH,Oscar,NA
PARKSVILLE,-124.3095221,49.3187512,PO BOX 1540 - 202 - 180 MCCARTER STREET,Launchpad,NA
COURTENAY,-124.9815476,49.6740725,1700 - 2751 CLIFFE AVENUE,IntraHealth,SOUTHWOOD MEDICAL CLINIC
NORTH VANCOUVER,-123.1009168,49.3371401,PO BOX 75557 - 3050 EDGEMONT BLVD,MD Physician Services,NA
BURNABY,-123.01893,49.2499871,106 - 3825 SUNSET STREET,Plexia,NA
VICTORIA,-123.3308402,48.4300629,225 - 1900 RICHMOND ROAD,MedAccess,NA
PENTICTON,-119.5918668,49.4941699,579 MARTIN STREET,Plexia,NA
KELOWNA,-119.4957287,49.8849333,202 - 1630 PANDOSY STREET,Accuro,NA
SURREY,-122.7984382,49.0311297,200 - 15331 16TH AVE,IntraHealth,HILLTOP MEDICAL CENTRE
COMOX,-124.9261093,49.6730325,101B - 1771 COMOX AVENUE,IntraHealth,TOWN CIRCLE MEDICAL
SURREY,-122.8250154,49.1917472,102-14333 104TH  AVENUE,Osler,NA
VICTORIA,-123.3641797,48.4681421,101 - 3960 QUADRA ST,Osler,NA
NEW WESTMINSTER,-122.8933071,49.2260098,302 - 301 EAST COLUMBIA STREET,Launchpad,NA
WHITE ROCK,-122.7909144,49.029777,15521 RUSSELL AVENUE,Launchpad,PRIVATE PRACTICE
SURREY,-122.8027414,49.1053336,103 - 15157 HIGHWAY 10,Wolf,PANORAMA VILLAGE MEDICAL CLINIC
VICTORIA,-123.3749103,48.4566559,3544 BLANSHARD STREET,Osler,NA
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 9TH FLR,Launchpad,DIAMOND HEALTH CARE CTR LAUREL CARDIOLOGY
VANCOUVER,-123.1204067,49.2190663,920C - 700 WEST 57TH AVENUE,Launchpad,GEORGE PEARSON CENTRE
NELSON,-117.2847019,49.4951494,413 - 3 VIEW STREET,MedAccess,KOOTENAY LK HOSP NEUROMUSCULAR + EMG LAB
VANCOUVER,-123.2434068,49.2639152,RM 1860 - 2255 WESBROOK MALL,Launchpad,UBC DEPARTMENT OF PSYCHIATRY
NANAIMO,-123.9723967,49.1831307,13 - 1599 DUFFERIN CRES,Accuro,NA
CHILLIWACK,-121.9657317,49.1399051,103 - 45485 KNIGHT ROAD,Oscar Nerd,VILLAGE PARK MEDICAL
VERNON,-119.2794447,50.2649347,9-3100 35TH STREET,Plexia,NA
VANCOUVER,-123.2034232,49.2640065,4303 WEST 10TH AVENUE,Oscar,NA
CHILLIWACK,-121.9570115,49.110878,201 - 45800 PROMONTORY ROAD,Oscar West,CROSS ROADS FAMILY PRACTICE
SIDNEY,-123.4007936,48.647608,2A - 2379 BEVAN AVENUE,MedAccess,BEVAN AVENUE MEDICAL
VANCOUVER,-123.0913402,49.2188237,7263 FRASER STREET,Osler,NA
MAPLE RIDGE,-122.6556484,49.2197182,402 - 20395 LOUGHEED HIGHWAY,IntraHealth,WESTGATE MEDICAL CLINIC
ABBOTSFORD,-122.3246453,49.0539612,304 - 2845 CRUICKSHANK STREET,IntraHealth,NA
VANCOUVER,-123.1315423,49.2809898,1123 DAVIE STREET,InputHealth,CBI CARE POINT DAVIE STREET
ABBOTSFORD,-122.3384549,49.0506108,172 - 2655 CLEARBROOK ROAD,Oscar Nerd,CENTRAL VALLEY MEDICAL CLINIC
SURREY,-122.8741661,49.1332766,114 - 12578 72ND AVENUE,Oscar Nerd,NA
VICTORIA,-123.3572855,48.4269747,941 PANDORA AVENUE,Launchpad,PANDORA ASSERTIVE COMMUNITY TREATMENT
VICTORIA,-123.3307382,48.4686848,102 - 1646 MCKENZIE AVENUE,Osler,TUSCANY MEDICAL CLINIC
VICTORIA,-123.3302199,48.4305343,302 - 2020 RICHMOND AVENUE,Plexia,NA
VANCOUVER,-123.1249085,49.2800387,300 808 NELSON ST,IntraHealth,COPEMAN HEALTHCARE CENTRE
QUALICUM BEACH,-124.4479828,49.3464452,3 - 219 FERN ROAD,Osler,QUALICUM BEACH ASSOCIATES
KEREMEOS,-119.8326764,49.2045297,700 3RD STREET,MedAccess,SOUTH SIMILKAMEEN HEALTH CENTRE
VANCOUVER,-123.1384717,49.2620593,213 - 2628 GRANVILLE STREET,Launchpad,NA
VANCOUVER,-123.0904171,49.2236992,6690 FRASER STREET,Launchpad,NA
VICTORIA,-123.3266597,48.4266748,1862 OAK BAY AVE,MedAccess,NA
BURNABY,-123.0167063,49.2330893,104 - 3965 KINGSWAY,Wolf,CENTRAL PARK MEDICAL CLINIC
VANCOUVER,-123.1262048,49.2455931,A311 - 4480 OAK STREET,Launchpad,NA
VANCOUVER,-123.1259148,49.2611413,2775 LAUREL STREET - 3RD FLR,Plexia,DIAMOND HEALTH CARE CTR ORTHOPEDIC SURGERY
LANGLEY,-122.6484709,49.1025179,101 - 20728 FRASER HWY,MedAccess,NA
MISSION,-122.3270153,49.1337746,104 - 32423 LOUGHEED HWY,Wolf,CEDAR CARE CLINIC
NANAIMO,-123.9424186,49.1688971,340 CAMPBELL STREET,IntraHealth,CALEDONIAN CLINIC
NEW WESTMINSTER,-122.8923133,49.2252694,103 - 250 KEARY STREET,Plexia,NA
NEW WESTMINSTER,-122.8923133,49.2252694,204 - 250 KEARY STREET,Osler,NA
ABBOTSFORD,-122.3154459,49.0558419,106 - 2955 GLADWIN ROAD,Launchpad,GLADWIN MEDICAL CLINIC
VICTORIA,-123.3639443,48.4268522,713 JOHNSON STREET - 1ST FLR,Wolf,COOL AID
GILLIES BAY,-124.4851985,49.6758725,PO BOX 10 - 2603 SANDERSON ROAD,Wolf,TEXADA HEALTH CENTRE
DUNCAN,-123.7091737,48.7840313,UNIT A  - 921 CANADA AVENUE,MedAccess,SOMENOS MEDICAL CLINIC
CAMPBELL RIVER,-125.2462899,50.0116464,130 - 520 2ND AVENUE,Oscar West,CEDARWOOD SPECIALIST GROUP
SURREY,-122.8428948,49.1745321,211 - 13710 94A AVENUE,Accuro,NA
SURREY,-122.7813232,49.1667441,4 9025 160 ST,Oscar,NA
VANCOUVER,-123.1282976,49.2792372,204 - 1160 BURRARD STREET,Plexia,NA
VANCOUVER,-123.1251268,49.2636604,230 - 943 WEST BROADWAY,Plexia,NA
KAMLOOPS,-120.3598098,50.6682182,102 - 775 MCGILL ROAD,MedAccess,NA
KELOWNA,-119.4918021,49.8608417,204 - 3140 LAKESHORE ROAD,Osler,NA
NANAIMO,-124.0256115,49.2345195,6010 BRICKYARD ROAD,IntraHealth,BRICKYARD MEDICAL CLINIC
QUATHIASKI COVE,-125.2091421,50.0402184,PO BOX 340,Oscar Nerd,QUADRA ISLAND MEDICAL
